scan_root: C:\Users\Colton S Covert\Documents\GitHub\Pathways-Into-Darkness-Unity\data\hfs
file_count: 145

path	size	appledouble_or_rsrc	has_resource_map	data_fork_note
Pathways_Extras/PIDMaps Folder/PID Maps/I'd Rather Be Surfing	12900	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/I'd Rather Be Surfing.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Lasciate Ogne Speranza, Voi Ch…	13817	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Lasciate Ogne Speranza, Voi Ch….rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Lock&Load	13707	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Lock&Load.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Need A Light_	10615	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Need A Light_.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Never Stop Firing	13113	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Never Stop Firing.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Please Excuse Our Dust	11311	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Please Excuse Our Dust.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/They May Be Slow…	13720	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/They May Be Slow….rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Warning- Earthquake Zone	8528	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Warning- Earthquake Zone.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Watch Your Step	12552	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Watch Your Step.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/We Can See In The Dark… Can Yo…	13546	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/We Can See In The Dark… Can Yo….rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Welcome, Tasty Primate	13625	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Welcome, Tasty Primate.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Where Only Fools Dare Tread	14390	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Where Only Fools Dare Tread.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Wrong Way!	13188	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Wrong Way!.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/…But They're Hungry	14045	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/…But They're Hungry.rsrc	286	True	True	
Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1	260192	False	False	
Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc	541585	True	True	
Pathways_Extras/Torch 0.9.1 folder/Torch Docs	5609	False	False	
Pathways_Extras/Torch 0.9.1 folder/Torch Docs.rsrc	81238	True	True	
PID_Japanese_1/Pathways Installer	1144909	False	False	
PID_Japanese_1/Pathways Installer.rsrc	78532	True	True	
PID_Japanese_1/ïKÇ∏Ç®ì«Ç›Ç≠ÇæÇ≥Ç¢	511	False	False	
PID_Japanese_2/Pathways Installer.2	854286	False	False	

=== types of interest ===

'.256'  ** LOOK **
  Pathways_1995/Shapes.rsrc x50
'8BIM'  ** not in v2.0 app fork **
  Pathways_Extras/PID_Docs Folder/sector_types_sqr.gif.rsrc x11
'ALRT'
  Installer_Disk_1/Pathways Installer.rsrc x16
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x3
  Pathways 1/Pathways Installer.rsrc x16
  Pathways_1995/Pathways Into Darkness.rsrc x15
  Pathways_1995/Pathways Manual.rsrc x1
  Pathways_Extras/Pathways Guide v1.1.rsrc x1
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x3
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x3
  PID_Japanese_1/Pathways Installer.rsrc x16
'BNDL'
  Installer_Disk_1/Pathways Installer.rsrc x1
  Installer_Disk_3/Sound Manager 3.0/Sound Manager.rsrc x1
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  Pathways_1995/Pathways Into Darkness.rsrc x1
  Pathways_1995/Pathways Manual.rsrc x1
  Pathways_Extras/Pathways Guide v1.1.rsrc x1
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'CDEF'  ** not in v2.0 app fork **
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x1
'CNTL'  ** not in v2.0 app fork **
  Pathways 1/Pathways Installer.rsrc x1
  Pathways_1995/Pathways Manual.rsrc x2
  Pathways_Extras/Pathways Guide v1.1.rsrc x3
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'CODE'
  Installer_Disk_1/Pathways Installer.rsrc x3
  Pathways 1/Pathways Installer.rsrc x3
  Pathways_1995/Pathways Into Darkness.rsrc x17
  Pathways_1995/Pathways Manual.rsrc x12
  Pathways_Extras/Pathways Guide v1.1.rsrc x13
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x4
  PID_Japanese_1/Pathways Installer.rsrc x3
'CURS'  ** not in v2.0 app fork **
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x1
'Clea'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'Colr'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'DATA'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'DCMP'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'DITL'
  Installer_Disk_1/Pathways Installer.rsrc x22
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x9
  Pathways 1/Pathways Installer.rsrc x23
  Pathways_1995/Pathways Into Darkness.rsrc x28
  Pathways_1995/Pathways Manual.rsrc x6
  Pathways_Extras/Pathways Guide v1.1.rsrc x6
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x5
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x3
  PID_Japanese_1/Pathways Installer.rsrc x22
'DLOG'
  Installer_Disk_1/Pathways Installer.rsrc x6
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x1
  Pathways 1/Pathways Installer.rsrc x7
  Pathways_1995/Pathways Into Darkness.rsrc x13
  Pathways_1995/Pathways Manual.rsrc x5
  Pathways_Extras/Pathways Guide v1.1.rsrc x5
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x6
'DREL'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'Dk@P'  ** not in v2.0 app fork **
  Pathways_1995/Pathways Manual.rsrc x1
  Pathways_Extras/Pathways Guide v1.1.rsrc x1
'ExpS'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'FOND'
  Pathways_1995/Pathways Into Darkness.rsrc x1
'FONT'
  Pathways_1995/Pathways Into Darkness.rsrc x2
'FREF'
  Installer_Disk_1/Pathways Installer.rsrc x4
  Installer_Disk_3/Sound Manager 3.0/Sound Manager.rsrc x1
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x1
  Pathways 1/Pathways Installer.rsrc x4
  Pathways_1995/Pathways Into Darkness.rsrc x8
  Pathways_1995/Pathways Manual.rsrc x1
  Pathways_Extras/Pathways Guide v1.1.rsrc x1
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x4
'Feat'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'Font'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x2
  Pathways 1/Pathways Installer.rsrc x2
  PID_Japanese_1/Pathways Installer.rsrc x2
'ICN#'
  Installer_Disk_1/Pathways Installer.rsrc x6
  Installer_Disk_3/Sound Manager 3.0/Sound Manager.rsrc x1
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x1
  Pathways 1/Pathways Installer.rsrc x5
  Pathways_1995/Pathways Into Darkness.rsrc x5
  Pathways_1995/Pathways Manual.rsrc x2
  Pathways_Extras/Pathways Guide v1.1.rsrc x2
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  Pathways_Extras/PID_Docs Folder/sector_types_sqr.gif.rsrc x1
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x5
'ICON'
  Installer_Disk_1/Pathways Installer.rsrc x1
  Installer_Disk_3/Sound Manager 3.0/Sound Manager.rsrc x4
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x4
  Pathways 1/Pathways Installer.rsrc x1
  Pathways_1995/Pathways Into Darkness.rsrc x2
  Pathways_1995/Pathways Manual.rsrc x6
  Pathways_Extras/Pathways Guide v1.1.rsrc x6
  PID_Japanese_1/Pathways Installer.rsrc x1
'IInf'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'ILic'  ** not in v2.0 app fork **
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'INIT'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Installer_Disk_3/Sound Manager 3.0/Sound Manager.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'IPDe'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
'IPac'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'LDEF'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  Pathways_Extras/Torch 0.9.1 folder/Torch 0.9.1.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'MBAR'
  Pathways_1995/Pathways Into Darkness.rsrc x1
'MENU'
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x2
  Pathways_1995/Pathways Into Darkness.rsrc x5
  Pathways_1995/Pathways Manual.rsrc x4
  Pathways_Extras/Pathways Guide v1.1.rsrc x4
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x9
'MPSR'  ** not in v2.0 app fork **
  Pathways_Extras/PID_Docs Folder/PIDMapReader.cp.rsrc x1
  Pathways_Extras/PID_Docs Folder/PIDMapReader.h.rsrc x1
  Pathways_Extras/PID_Docs Folder/SimpleVec.h.rsrc x1
'MWBB'  ** not in v2.0 app fork **
  Pathways_Extras/PID_Docs Folder/PIDMapReader.cp.rsrc x1
  Pathways_Extras/PID_Docs Folder/PIDMapReader.h.rsrc x1
  Pathways_Extras/PID_Docs Folder/SimpleVec.h.rsrc x1
'Merg'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'MnSy'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'NFNT'
  Pathways_1995/Pathways Into Darkness.rsrc x1
'NumF'  ** not in v2.0 app fork **
  Installer_Disk_1/Pathways Installer.rsrc x1
  Pathways 1/Pathways Installer.rsrc x1
  PID_Japanese_1/Pathways Installer.rsrc x1
'PICT'  ** LOOK **
  Installer_Disk_1/Pathways Installer.rsrc x8
  Installer_Disk_3/Sound Manager 3.0/Sound.rsrc x4
  Pathways 1/Pathways Installer.rsrc x16
  Pathways_1995/Pathways Manual.rsrc x26
  Pathways_Extras/Pathways Guide v1.1.rsrc x27
  Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc x1
  Pathways_Extras/PID_Docs Folder/sector_types_sqr.gif.rsrc x1
  Pathways_Extras/pidmaps/pid maps/ascension.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/beware_of.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/but_wait_a.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/but_wait_b.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/dark.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/dust.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/earthquake_zone.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/evil_undead.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/fools_dare_tread.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/ground_floor.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/happy_carnage.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/hungry.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/lasciate.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/lock&load.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/need_a_light.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/never_stop_firing.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/plague_of_demons.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/poisoned_a.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/poisoned_b.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/power.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/slow.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/step.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/summary.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/surfing.pict.rsrc x1
  Pathways_Extras/pidmaps/pid maps/welcome_tasty.pict.rsrc x1
